Date,LT Composite > 10 Yrs,Treasury 20-Yr CMT,Extrapolation Factor
11/26/14,-0.007272727,-0.007434944,
11/25/14,-0.014336918,-0.018248175,
11/24/14,-0.003571429,-0.003636364,
11/21/14,-0.010600707,-0.010791367,
11/20/14,-0.007017544,-0.007142857,
11/19/14,0.007067138,0.010830325,
11/18/14,-0.003521127,-0.007168459,
11/17/14,0.014285714,0.007220217,
11/14/14,-0.010600707,-0.010714286,
11/13/14,-0.003521127,-0.003558719,
11/12/14,-0.003508772,0,
11/10/14,0.021505376,0.018115942,
11/7/14,-0.024475524,-0.024734982,
11/6/14,0.014184397,0.014336918,
11/5/14,0.003558719,0.003597122,
11/4/14,-0.007067138,-0.007142857,
11/3/14,0,-0.003558719,
10/31/14,0.010714286,0.014440433,
10/30/14,-0.007092199,-0.007168459,
10/29/14,0.003558719,0,
10/28/14,0.010791367,0.014545455,
10/27/14,-0.003584229,-0.007220217,
10/24/14,0,0,
10/23/14,0.014545455,0.014652015,
10/22/14,0.003649635,0.003676471,
10/21/14,0.014814815,0.014925373,
10/20/14,-0.010989011,-0.007407407,
10/17/14,0.018656716,0.015037594,
10/16/14,0.007518797,0.007575758,
10/15/14,-0.014814815,-0.014925373,
10/14/14,-0.032258065,-0.032490975,
10/10/14,-0.010638298,-0.014234875,
10/9/14,-0.003533569,-0.003546099,
10/8/14,0.003546099,0.003558719,
10/7/14,-0.024221453,-0.024305556,
10/6/14,-0.003448276,-0.003460208,
10/3/14,-0.003436426,-0.003448276,
10/2/14,0.010416667,0.010452962,
10/1/14,-0.033557047,-0.036912752,
9/30/14,0.010169492,0.010169492,
9/29/14,-0.013377926,-0.013377926,
9/26/14,0.003355705,0.003355705,
9/25/14,-0.019736842,-0.019736842,
9/24/14,0.009966777,0.009966777,
9/23/14,-0.013114754,-0.009868421,
9/22/14,-0.003267974,-0.003278689,
9/19/14,-0.019230769,-0.022435897,
9/18/14,-0.003194888,0,
9/17/14,0.006430868,0.003215434,
9/16/14,0.003225806,0.006472492,
9/15/14,-0.003215434,-0.003225806,
9/12/14,0.02640264,0.026490066,
9/11/14,0.003311258,0.003322259,
9/10/14,0.013422819,0.013468013,
9/9/14,0,0,
9/8/14,0,0,
9/5/14,0.006756757,0.006779661,
9/4/14,0.017182131,0.017241379,
9/3/14,-0.003424658,-0.003436426,
9/2/14,0.028169014,0.028268551,
8/29/14,0.003533569,0.003546099,
8/28/14,-0.01048951,-0.010526316,
8/27/14,-0.013793103,-0.01384083,
8/26/14,0.003460208,0.003472222,
8/25/14,-0.006872852,-0.006896552,
