Date,Close/Last,Volume,Open,High,Low
7/14/21,$347.63 ,13894220,$354.56 ,$355.20 ,$346.73 
7/13/21,$352.09 ,11455960,$351.50 ,$358.49 ,$348.80 
7/12/21,$353.16 ,10018620,$351.23 ,$354.19 ,$349.64 
7/9/21,$350.42 ,13018690,$345.32 ,$350.71 ,$345.27 
7/8/21,$345.65 ,14406460,$345.73 ,$348.33 ,$342.56 
7/7/21,$350.49 ,14218870,$355.26 ,$356.49 ,$350.00 
7/6/21,$352.78 ,13488460,$356.50 ,$358.79 ,$349.18 
7/2/21,$354.70 ,11524610,$355.10 ,$356.44 ,$352.62 
7/1/21,$354.39 ,17137020,$346.82 ,$354.67 ,$346.50 
6/30/21,$347.71 ,15107510,$352.17 ,$352.92 ,$347.17 
6/29/21,$351.89 ,21417310,$356.27 ,$356.74 ,$349.05 
6/28/21,$355.64 ,29156130,$342.46 ,$358.14 ,$341.77 
6/25/21,$341.37 ,14594440,$342.59 ,$344.12 ,$339.68 
6/24/21,$343.18 ,12329100,$341.85 ,$344.90 ,$341.79 
6/23/21,$340.59 ,14817820,$339.35 ,$343.42 ,$338.20 
6/22/21,$339.03 ,15345300,$332.69 ,$339.92 ,$332.60 
6/21/21,$332.29 ,11337520,$331.09 ,$332.92 ,$327.65 
6/18/21,$329.66 ,23039460,$334.53 ,$336.15 ,$329.00 
6/17/21,$336.51 ,17794080,$330.49 ,$337.98 ,$330.15 
6/16/21,$331.08 ,17232160,$336.70 ,$337.55 ,$328.72 
6/15/21,$336.75 ,15795230,$336.99 ,$339.92 ,$335.03 
6/14/21,$336.77 ,12250800,$331.90 ,$336.82 ,$329.81 
6/11/21,$331.26 ,13587920,$332.58 ,$332.83 ,$328.93 
6/10/21,$332.46 ,13240230,$330.79 ,$333.94 ,$328.55 
6/9/21,$330.25 ,13727950,$335.74 ,$336.80 ,$330.00 
6/8/21,$333.68 ,14580460,$336.70 ,$338.30 ,$332.24 
6/7/21,$336.58 ,20136710,$329.48 ,$337.69 ,$328.93 
6/4/21,$330.35 ,13289380,$325.90 ,$332.46 ,$325.18 
6/3/21,$326.04 ,12610790,$325.78 ,$327.38 ,$323.48 
6/2/21,$329.15 ,11654280,$330.38 ,$331.87 ,$327.12 
6/1/21,$329.13 ,11765910,$330.15 ,$331.42 ,$326.64 
5/28/21,$328.73 ,12037430,$331.00 ,$332.87 ,$328.33 
5/27/21,$332.75 ,20477730,$328.00 ,$333.78 ,$326.76 
5/26/21,$327.66 ,9686917,$328.35 ,$329.83 ,$325.82 
5/25/21,$327.79 ,16436970,$327.08 ,$329.18 ,$324.80 
5/24/21,$324.63 ,16445360,$318.21 ,$325.95 ,$318.03 
5/21/21,$316.23 ,13600900,$319.29 ,$319.93 ,$315.81 
5/20/21,$318.61 ,17320240,$313.58 ,$319.25 ,$313.16 
5/19/21,$313.59 ,19106240,$304.19 ,$314.66 ,$303.57 
5/18/21,$309.96 ,14522400,$315.59 ,$316.50 ,$309.81 
5/17/21,$315.46 ,15371050,$313.55 ,$315.68 ,$311.58 
5/14/21,$315.94 ,19245720,$309.54 ,$316.85 ,$309.08 
5/13/21,$305.26 ,18079160,$306.08 ,$308.86 ,$302.77 
5/12/21,$302.55 ,24641010,$301.13 ,$304.96 ,$298.19 
5/11/21,$306.53 ,18920090,$300.75 ,$306.84 ,$299.69 
5/10/21,$305.97 ,24239170,$314.35 ,$314.58 ,$304.83 
5/7/21,$319.08 ,15916740,$322.38 ,$322.94 ,$318.75 
5/6/21,$320.02 ,19012240,$314.52 ,$320.24 ,$313.28 
5/5/21,$315.02 ,15577610,$318.19 ,$321.06 ,$314.49 
5/4/21,$318.36 ,24032560,$320.03 ,$322.19 ,$313.12 
5/3/21,$322.58 ,18719460,$326.17 ,$328.55 ,$321.84 
